,Unnamed: 0,province,town,address,sortation
52,52,AB,Calgary,"177 Country Hills Blvd Nw, Unit 238, Calgary AB T3K 4W4",T3K
53,53,AB,Calgary,"1820b Uxbridge Rd Nw, Calgary AB T2N 3Z1",T2N
54,54,AB,Calgary,"200-10233 Elbow Dr Sw, Unit 200, Calgary AB T2W 1E8",T2W
55,55,AB,Calgary,"2000 Airport Rd Ne, Calgary International Airport, Calgary AB T2E 6W5",T2E
56,56,AB,Calgary,"2000 Airport Rd. Ne, Calgary International Airport, Calgary AB T2E 6W5",T2E
57,57,AB,Calgary,"2000 Airport Road Ne, Calgary AB T2E 6W5",T2E
58,58,AB,Calgary,"2016 Airport Road Ne, #201ac, Calgary AB T2E 6W5",T2E
59,59,AB,Calgary,"2021 Pegasus Rd Ne, Calgary AB T2E 8C3",T2E
60,60,AB,Calgary,"2045 Symons Valley Parkway, Calgary AB T3P 0Y2",T3P
61,61,AB,Calgary,"222 205 5th Ave Sw, Calgary AB T2P 2V7",T2P
62,62,AB,Calgary,"225 7th Ave Sw, Unit 165, Calgary AB T2P 2W3",T2P
63,63,AB,Calgary,"2335 162nd Ave Sw, Calgary AB T2Y 4S6",T2Y
64,64,AB,Calgary,"240 16th Ave Ne, Calgary AB T2E 1J8",T2E
65,65,AB,Calgary,"240 4 Ave Sw, 229, Calgary AB T2P 4H4",T2P
66,66,AB,Calgary,"2443 54th Avenue Sw, Calgary AB T3E 1M8",T3E
67,67,AB,Calgary,"2520 52 St Ne, Calgary AB T1Y 3R5",T1Y
68,68,AB,Calgary,"25238 Twp Rd 254a, 254a, Calgary AB T3L 2P9",T3L
69,69,AB,Calgary,"2525 Woodview Dr Sw, Calgary AB T2W 4N4",T2W
70,70,AB,Calgary,"255 East Hills Blvd Se, Calgary AB T2A 4X7",T2A
71,71,AB,Calgary,"2550 Country Hills Blvd, Calgary AB T3N 1A6",T3N
72,72,AB,Calgary,"2616 39th Ave Ne, Calgary AB T1Y 7J9",T1Y
73,73,AB,Calgary,"2681 Sunridge Way Ne, Calgary AB T1Y 7K7",T1Y
74,74,AB,Calgary,"28 - Oki Dr Nw, Calgary AB T3B 6A8",T3B
75,75,AB,Calgary,"303 Shawville Blvd Se, Unit 400, Calgary AB T2Y 2Z3",T2Y
76,76,AB,Calgary,"3134 Hospital Dr Nw, Calgary AB T2N 5A1",T2N
77,77,AB,Calgary,"332 6 Ave Se, Calgary AB T2G 4S6",T2G
78,78,AB,Calgary,"345 6th Ave Se, Calgary AB T2G 4V1",T2G
79,79,AB,Calgary,"347 Southland Dr, Calgary AB T2J 3L4",T2J
80,80,AB,Calgary,"35 Sage Hill Gate Nw, Calgary AB T3R 0S4",T3R
81,81,AB,Calgary,"3508 32nd Ave Ne, Unit 500, Calgary AB T1H 6J7",T1H
82,82,AB,Calgary,"3508 37th St Sw, Calgary AB T3E 7B1",T3E
83,83,AB,Calgary,"3525 26th Ave Se, Calgary AB T2B 3M9",T2B
84,84,AB,Calgary,"3550 52 St Ne, Calgary AB T1Y 6H1",T1Y
85,85,AB,Calgary,"3580 20 Ave Ne, Calgary AB T1Y 6E8",T1Y
86,86,AB,Calgary,"3619 61st Ave Se, Unit 4000, Calgary AB T2C 4T8",T2C
87,87,AB,Calgary,"3625 Shaganappi Trail Nw, Calgary AB T3A 0E2",T3A
88,88,AB,Calgary,"3660 Westwinds Dr Ne, #101, Calgary AB T3J 5H3",T3J
89,89,AB,Calgary,"3800 Memorial Dr Ne, Unit 1223, Calgary AB T2A 2K2",T2A
90,90,AB,Calgary,"3840 Macleod Trail Se, Calgary AB T2G 2R2",T2G
91,91,AB,Calgary,"3955 17th Ave Sw, Calgary AB T3E 0C3",T3E
92,92,AB,Calgary,"40 Midlake Blvd Se, Calgary AB T2X 1J1",T2X
93,93,AB,Calgary,"#400, 12100 Macleod Trail Se Avenida Place Shopping Centre, Unit 400, Calgary AB T2J 7G9",T2J
94,94,AB,Calgary,"400 Barlow Square Se, Calgary AB T2C 5S5",T2C
95,95,AB,Calgary,"401 9th Ave Sw, Calgary AB T2P 3C5",T2P
96,96,AB,Calgary,"4015 Centre St N, Calgary AB T2E 2Y4",T2E
97,97,AB,Calgary,"402 Collegiate Blvd Nw, Calgary AB T1Y 3R5",T1Y
98,98,AB,Calgary,"4307 130th Ave Se, Unit 5, Calgary AB T2Z 3V8",T2Z
99,99,AB,Calgary,"444 58th Ave Se, Calgary AB T2H 0P4",T2H
100,100,AB,Calgary,"444 5th Ave Sw, Unit 101, Calgary AB T2P 2T8",T2P
101,101,AB,Calgary,"4448 Front St, Calgary AB T3M 1M4",T3M
102,102,AB,Calgary,"45 Everridge Dr Sw, Calgary AB T2Y 4R5",T2Y
103,103,AB,Calgary,"4705 16th Ave Nw, Calgary AB T2A 0S5",T2A
104,104,AB,Calgary,"4750 17th Ave Se, Calgary AB T2A 0V1",T2A
105,105,AB,Calgary,"4825 Mount Royal Gate Sw, Calgary AB T3K 6K6",T3K
106,106,AB,Calgary,"4949 Barlow Trail Se Unit 2, #2, Calgary AB T2B 3B5",T2B
107,107,AB,Calgary,"500 Centre St Se, Calgary AB T2G 1A6",T2G
108,108,AB,Calgary,"500 Country Hills Blvd Ne, Unit 900, Calgary AB T3K 4Y7",T3K
109,109,AB,Calgary,"#510 19587 Seton Cr Se, Calgary AB T3M 2T5",T3M
110,110,AB,Calgary,"5105 Falconridge Blvd Ne, Calgary AB T3J 3K9",T3J
111,111,AB,Calgary,"520 3 Avenue Sw, Unit#205, Calgary AB T2P 0R3",T2P
112,112,AB,Calgary,"5279 72nd Ave Se, Calgary AB T2C 3H3",T2C
113,113,AB,Calgary,"555 Saddledome Rise Se, Calgary AB T2G 2W1",T2G
114,114,AB,Calgary,"575 36th St Ne, Calgary AB T2A 4W3",T2A
115,115,AB,Calgary,"5927 Signal Hill Centre, Calgary AB T3H 3P8",T3H
116,116,AB,Calgary,"5a Heritage Gate Se, Calgary AB T2H 3A7",T2H
117,117,AB,Calgary,"6 Richard Way Sw, Calgary AB T3E 7M9",T3E
118,118,AB,Calgary,"615 Macleod Trail Se, Calgary AB T2G 4T8",T2G
119,119,AB,Calgary,"640 5th Ave Sw, Calgary AB T2P 3G4",T2P
120,120,AB,Calgary,"6428 Bowness Rd Nw, Calgary AB T3B 0E7",T3B
121,121,AB,Calgary,"6455 Macleod Trail Sw, Calgary AB T3C 1S2",T3C
122,122,AB,Calgary,"6460 Centre St Ne, Calgary AB T2K 5C5",T2K
123,123,AB,Calgary,"6510 Country Hills Nw, Calgary AB T3G 4R8",T3G
124,124,AB,Calgary,"665 8th St Sw, Suite 120, Calgary AB T2P 3K7",T2P
125,125,AB,Calgary,"6825 Macleod Trail S, Calgary AB T2H 0L5",T2H
126,126,AB,Calgary,"7007 14 St. Sw, Calgary AB T2V 1P9",T2V
127,127,AB,Calgary,"7170 80th Avenue Ne, Unit 400, Calgary AB T3J 0P6",T3J
128,128,AB,Calgary,"723 46 Ave Se, Unit 100, Calgary AB T2G 2A4",T2G
129,129,AB,Calgary,"775 4th St, Calgary AB T2G 1T1",T2G
130,130,AB,Calgary,"79 Crowfoot Way Nw, Calgary AB T3G 2R2",T3G
131,131,AB,Calgary,"8116-8650 112 Ave Nw (royal Oak), Unit 8116, Calgary AB T3R 0R5",T3R
132,132,AB,Calgary,"816-100 Auburn Meadows Dr Se, Calgary AB T2G 3M5",T2G
133,133,AB,Calgary,"8338 18th St Se, Unit 500, Calgary AB T2C 4E4",T2C
134,134,AB,Calgary,"855 8th Ave Sw, Calgary AB T2P 1H4",T2P
135,135,AB,Calgary,"880 16th Ave Sw, Unit 110, Calgary AB T2R 1J9",T2R
136,136,AB,Calgary,"8835 Macleod Trail Se, Calgary AB T2V 2X4",T2V
137,137,AB,Calgary,"905 64th Ave Nw, Calgary AB T2K 0M5",T2K
138,138,AB,Calgary,"917 85th St Sw, Unit 402, Calgary AB T3H 5Z9",T3H
139,139,AB,Calgary,"924 16th Ave Nw, Calgary AB T2M 0K3",T2M
140,140,AB,Calgary,"9650 Harvest Hills Blvd Ne, Unit 200, Calgary AB T3K 6G4",T3K
141,141,AB,Calgary,"979 64th Ave Ne, Calgary AB T2E 7Z4",T2E
142,142,AB,Calgary,"99 Shawville Blvd Se, Calgary AB T2Y 3W5",T2Y
143,143,AB,Calgary,"Apt 2314 - 1317 27 Street Se, Calgary AB T2N 1N4",T2N
144,144,AB,Calgary,"Dome Tower, 324 7 Ave Sw, Calgary AB T2P 4K8",T2P
145,145,AB,Calgary,"Mount Royal University Campus, Calgary AB T3E 6K6",T3E
146,146,AB,Calgary,"Southcentre Mall, Calgary AB T2J 3V1",T2J
147,147,AB,Calgary,"Unit 200 -1625 210 Avenue S.e., Calgary AB T2X 4K8",T2X
148,148,AB,Calgary,"Unit 7, 28 Mckenzie Towne Avenue, Calgary AB T2Z 3S7",T2Z
149,149,AB,Camrose,"3601 48th Ave, Camrose AB T4V 1L8",T4V
150,150,AB,Camrose,"6602 48th Ave, Camrose AB T4V 4R1",T4V
151,151,AB,Canmore,"1729 Mountain Ave, Canmore AB T1W 1L7",T1W
152,152,AB,Canmore,"950 Railway Ave - Unit 2 Save-on-foods, Canmore AB T1W 1P4",T1W
153,153,AB,Carstairs,"15 Champion Rd, Carstairs AB T0M 0N0",T0M
154,154,AB,Chestermere,"120 Chestermere Station Way, #300, Chestermere AB T1X 1V3",T1X
155,155,AB,Chestermere,"140 Chestermere Station Way, Chestermere AB T1X 0A9",T1X
156,156,AB,Claresholm,"29 Alberta Rd, Claresholm AB T0L 0T0",T0L
157,157,AB,Coaldale,"2516 - 21st Avenue, Coaldale AB T1M 0C1",T1M
158,158,AB,Cochrane,"1105-23 Heartland Blvd, Cochrane AB T4C 2V4",T4C
159,159,AB,Cochrane,"12 Fireside Gate, Cochrane AB T4C 0V9",T4C
160,160,AB,Cochrane,"12 West Side Dr, Cochrane AB T4C 1M1",T4C
161,161,AB,Cold Lake,"101, 2550 16 Ave, Cold Lake AB T9M 0L6",T9M
162,162,AB,Cold Lake,"4301 50 St, Cold Lake AB T9M 1K6",T9M
163,163,AB,Cold Lake,"6803 51st St, Cold Lake AB T9M 1Z9",T9M
164,164,AB,Cold Lake,"Cold Lake Supermart, Building 69, Cold Lake AB T9M 2C4",T9M
165,165,AB,Crossfield,"Queen Elizabeth Ii Highway, Unit 293, Crossfield AB T0M 0S0",T0M
166,166,AB,Denwood,"Wainwright Supermart, Building 595, Denwood AB T0B 1B0",T0B
167,167,AB,Devon,"180 Miquelon Ave, Unit #145, Devon AB T9G 0A6",T9G
168,168,AB,Didsbury,"2409 16 St, Unit C, Didsbury AB T0M 0W0",T0M
169,169,AB,Drayton Valley,"2049 50th St, Drayton Valley AB T7A 1S5",T7A
170,170,AB,Drayton Valley,"5733 50th Ave, Drayton Valley AB T7A 1R6",T7A
171,171,AB,Drumheller,"1101 Highway N, Drumheller AB T0J 0Y0",T0J
172,172,AB,Edmonton,"1000 Airport Road, Edmonton Intl Airport (departures), Edmonton AB T9E 0V3",T9E
173,173,AB,Edmonton,"1000 Airport Road, Edmonton Intl Airport Arrivals, Edmonton AB T9E 0V3",T9E
174,174,AB,Edmonton,"#101 - 9950 - 132 Avenue, Edmonton AB T5E 6W1",T5E
175,175,AB,Edmonton,"10110 Kingsway Ave, Edmonton AB T5H 3V8",T5H
176,176,AB,Edmonton,"10150 Jasper Ave, Unit 101, Edmonton AB T5J 1W5",T5J
177,177,AB,Edmonton,"10215 108 St Nw, Edmonton AB T5J 1L6",T5J
178,178,AB,Edmonton,"10220 104 Ave Nw, Edmonton AB T5H 2X6",T5H
179,179,AB,Edmonton,"10221 170th St, Unit 1020, Edmonton AB T5P 4V4",T5P
180,180,AB,Edmonton,"10240 Kingsway Royal Alexandra Ho, Edmonton AB T5H 3V9",T5H
181,181,AB,Edmonton,"10310 31st Ave Nw, Edmonton AB T6J 6Y5",T6J
182,182,AB,Edmonton,"10365 111 St, Edmonton AB T5K 2V3",T5K
183,183,AB,Edmonton,"1045 Katz Group - Rexall Centre Of Pharmacy And Health Research, 8613-114 St, Edmonton AB T6G 2L7",T6G
184,184,AB,Edmonton,"10519 82 Avenue Northwest,  83 St NW #174, Edmonton AB T6E 2A3",T6E
185,185,AB,Edmonton,"10519 82nd Ave Nw, Edmonton AB T6E 2A3",T6E
186,186,AB,Edmonton,"10665 Jasper Ave, Unit 108, Edmonton AB T5J 3S9",T5J
187,187,AB,Edmonton,"10904 111 Avenue Nw- Esso Otr, Edmonton AB T5G 0C7",T5G
188,188,AB,Edmonton,"110 Watt Common Sw, Edmonton AB T6X 1X2",T6X
189,189,AB,Edmonton,"11084 51st Ave Nw, Edmonton AB T6H 0L4",T6H
190,190,AB,Edmonton,"11103 Ellerslie Rd Sw, Edmonton AB T6W 0E9",T6W
191,191,AB,Edmonton,"11104 184 St Nw, Edmonton AB T5S 2S6",T5S
192,192,AB,Edmonton,"11240 Groat Rd North West, Edmonton AB T5M 4E7",T5M
193,193,AB,Edmonton,"11610 65 Ave Nw, Edmonton AB T6G 2E1",T6G
194,194,AB,Edmonton,"11762 106 St Nw, Nait Ict Center, Edmonton AB T5G 2R1",T5G
195,195,AB,Edmonton,"11763 106 St, Edmonton AB T5G 2R1",T5G
196,196,AB,Edmonton,"11940 111 Ave Nw, Edmonton AB T5G 0E5",T5G
197,197,AB,Edmonton,"125 Univ Campus Nw, Edmonton AB T6G 2H6",T6G
198,198,AB,Edmonton,"12621 Victoria Trail Nw, Edmonton AB T5A 4W4",T5A
199,199,AB,Edmonton,"12820 82nd St Nw, Edmonton AB T5E 2T2",T5E
200,200,AB,Edmonton,"12852 167 Ave, Edmonton AB T6V 1B1",T6V
201,201,AB,Edmonton,"12996 50th St, Edmonton AB T5A 4L2",T5A
202,202,AB,Edmonton,"13015 118th Ave Nw, Edmonton AB T5L 2L3",T5L
203,203,AB,Edmonton,"13080 St Albert Trail Nw, Edmonton AB T5L 2L5",T5L
204,204,AB,Edmonton,"1317 175th Street, Edmonton AB T6W 4H3",T6W
205,205,AB,Edmonton,"13604 137 Ave, Edmonton AB T5L 2B3",T5L
206,206,AB,Edmonton,"13704 - 164 Street Nw, Edmonton AB T5V 1R6",T5V
207,207,AB,Edmonton,"13704 50th St Nw, Edmonton AB T5A 4Y3",T5A
208,208,AB,Edmonton,"13831 127th St, Edmonton AB T6V 1A8",T6V
209,209,AB,Edmonton,"14111 28 Ave Sw, Edmonton AB T6W 3Y9",T6W
210,210,AB,Edmonton,"14204 23rd Ave, Edmonton AB T6R 3L6",T6R
211,211,AB,Edmonton,"14865 137th Ave Nw, Edmonton AB T5L 4H5",T5L
212,212,AB,Edmonton,"15224 127 St Nw, Edmonton AB T6V 0C5",T6V
213,213,AB,Edmonton,"1524 23rd Ave Nw, Edmonton AB T6T 0Y2",T6T
214,214,AB,Edmonton,"15606 111th Ave Nw, Edmonton AB T5M 2R7",T5M
215,215,AB,Edmonton,"15710 Stony Plain Rd Nw, Edmonton AB T5P 3Z5",T5P
216,216,AB,Edmonton,"15830 87 Ave, Edmonton AB T5R 5Z1",T5R
217,217,AB,Edmonton,"16012 100a Ave, Edmonton AB T5P 0M1",T5P
218,218,AB,Edmonton,"16039 97th St, Edmonton AB T5X 6B1",T5X
219,219,AB,Edmonton,"16438 87th Ave, Edmonton AB T5R 4H2",T5R
220,220,AB,Edmonton,"16955 109 Ave Nw, Edmonton AB T5P 4P6",T5P
221,221,AB,Edmonton,"17004 111th Ave, Edmonton AB T5S 2Y1",T5S
222,222,AB,Edmonton,"17761 100th Ave Nw, Edmonton AB T5S 1R6",T5S
223,223,AB,Edmonton,"18314 Lessard Rd, Edmonton AB T6M 2W8",T6M
224,224,AB,Edmonton,"18403 111th Ave Nw, Edmonton AB T5S 2V5",T5S
225,225,AB,Edmonton,"1850 102 St Nw, Unit 1, Edmonton AB T6N 1N3",T6N
226,226,AB,Edmonton,"18531 Stony Plain Rd Nw, Edmonton AB T5S 2X6",T5S
227,227,AB,Edmonton,"1a Sir Winston Churchill Square Nw, Edmonton AB T5J 0R2",T5J
228,228,AB,Edmonton,"20108 Lessard Road Nw, Edmonton AB T6M 0T9",T6M
229,229,AB,Edmonton,"2133 99th St Nw, Edmonton AB T6N 1J7",T6N
230,230,AB,Edmonton,"21458 115 Ave Nw, Edmonton AB T5S 0K5",T5S
231,231,AB,Edmonton,"#2171, 8770 170th St West Ed. Mall, Store Front, Edmonton AB T5T 4J2",T5T
232,232,AB,Edmonton,"22915 97 Ave, Edmonton AB T5T 5X8",T5T
233,233,AB,Edmonton,"2309 Rabbit Hill Rd Nw, Edmonton AB T6R 3L6",T6R
234,234,AB,Edmonton,"2331 66 Street Nw, Edmonton AB T6K 4B4",T6K
235,235,AB,Edmonton,"2943 137th Ave, Edmonton AB T5A 5G8",T5A
236,236,AB,Edmonton,"3042 Granville Drive N.w., Edmonton AB T5T 4V3",T5T
237,237,AB,Edmonton,"3351 34th St Nw, Edmonton AB T6T 0B5",T6T
238,238,AB,Edmonton,"3522 118th Ave Nw, Edmonton AB T5W 0Z4",T5W
239,239,AB,Edmonton,"361 Allard Blvd Sw, Edmonton AB T6W 0J2",T6W
240,240,AB,Edmonton,"3745 17 St Nw, Edmonton AB T6T 1H9",T6T
241,241,AB,Edmonton,"420 Manning Crossing Nw, Edmonton AB T5A 5A1",T5A
242,242,AB,Edmonton,"4310 66th St, Edmonton AB T6K 4A2",T6K
243,243,AB,Edmonton,"4403 50th St, Edmonton AB T6L 6X4",T6L
244,244,AB,Edmonton,"4819 184th St, Edmonton AB T6M 2W8",T6M
245,245,AB,Edmonton,"4950 Calgary Trail Nw Esso Otr, Edmonton AB T6H 5H5",T6H
246,246,AB,Edmonton,"5003 101 Ave Nw, Edmonton AB T6A 0G8",T6A
247,247,AB,Edmonton,"5010 99th St Nw, Edmonton AB T6E 3N6",T6E
248,248,AB,Edmonton,"5015 111th Southgate Centre, Edmonton AB T6H 4M6",T6H
249,249,AB,Edmonton,"5105 167th Ave Nw, Edmonton AB T5Y 0L3",T5Y
250,250,AB,Edmonton,"5204 23rd Ave, Edmonton AB T6L 6Y7",T6L
251,251,AB,Edmonton,"5292 - Ellerslie Rd Sw, Edmonton AB T6X 1A4",T6X
252,252,AB,Edmonton,"575 109th St, Unit 214, Edmonton AB T5G 3A3",T5G
253,253,AB,Edmonton,"6120 50th St Nw, Edmonton AB T6B 2N7",T6B
254,254,AB,Edmonton,"6234 Currents Dr Nw, Edmonton AB T6W 0J2",T6W
255,255,AB,Edmonton,"6470 28th Ave, Edmonton AB T6L 6N3",T6L
256,256,AB,Edmonton,"6512 170th Ave Nw, Edmonton AB T5X 3X6",T5X
257,257,AB,Edmonton,"6833 177 St, Edmonton AB T5T 4K3",T5T
258,258,AB,Edmonton,"7220-119th Ave, Edmonton AB T5B 4M9",T5B
259,259,AB,Edmonton,"7441 76th Ave, Edmonton AB T6C 4M3",T6C
260,260,AB,Edmonton,"7457 Roper Rd Nw, Edmonton AB T6B 3K9",T6B
261,261,AB,Edmonton,"7502 Gateway Blvd N.w., Edmonton AB T6E 6E8",T6E
262,262,AB,Edmonton,"7535 38 Ave Nw, Edmonton AB T6K 3X9",T6K
263,263,AB,Edmonton,"8030 167th Ave Nw, Edmonton AB T5Z 0E5",T5Z
264,264,AB,Edmonton,"8427 112th St Nw, Edmonton AB T6G 1K5",T6G
265,265,AB,Edmonton,"8555 Argyll Rd Nw, Edmonton AB T6C 4B2",T6C
266,266,AB,Edmonton,"862 Parsons Rd Sw, Edmonton AB T6X 0B4",T6X
267,267,AB,Edmonton,"87th Ave & 116 Th Street, Edmonton AB T6G 2H6",T6G
268,268,AB,Edmonton,"890 Webber Greens Dr Nw, Edmonton AB T5T 4K5",T5T
269,269,AB,Edmonton,"9499 137 Ave Nw Northgate Mall, Edmonton AB T5E 5R8",T5E
270,270,AB,Edmonton,"9655 63rd Ave, Edmonton AB T6E 0G2",T6E
271,271,AB,Edmonton,"9710 132nd Ave Nw, Edmonton AB T5E 6J4",T5E
272,272,AB,Edmonton,"9841 Winterburn Road, Edmonton AB T5T 7P6",T5T
273,273,AB,Edmonton,"9860 34th Ave Nw, Edmonton AB T6E 6L1",T6E
274,274,AB,Edmonton,"9902 153rd Ave Nw, Edmonton AB T5X 6A4",T5X
275,275,AB,Edmonton,"Central Academic Building, Edmonton AB T6G 2H6",T6G
276,276,AB,Edmonton,"Centre For Sport And Wellness, 10700 104th Ave, Edmonton AB T5J 4S2",T5J
277,277,AB,Edmonton,"Engineering - Teaching & Learning Cntr, Edmonton AB T6G 2H6",T6G
278,278,AB,Edmonton,"Londonderry Mall, Edmonton AB T5C 3C8",T5C
279,279,AB,Edmonton,"Macewan University, 10700 104th Ave, Edmonton AB T5J 4S2",T5J
280,280,AB,Edmonton,"Manning Dr Nw & 153rd Ave Nw, Edmonton AB T5Y 6A1",T5Y
281,281,AB,Edmonton,"Nait - X Wing, Edmonton AB T5G 2R1",T5G
282,282,AB,Edmonton,"P209, 10200 102 Ave, Suite 209, Edmonton AB T5J 4V7",T5J
283,283,AB,Edmonton,"Unit #240 - 10111 104 Avenue, 2nd Floor, Unit 240, Edmonton AB T5J 0J4",T5J
284,284,AB,Edmonton International Airport,"411 Airport Rd, Edmonton International Airport AB T9E 0V5",T9E
285,285,AB,Edson,"201 54 St, Edson AB T7E 1X8",T7E
286,286,AB,Edson,"4213 3rd Ave, Box 2, Edson AB T7E 1B8",T7E
287,287,AB,Fairview,"11104-100 Avenue, Fairview AB T0H 1L0",T0H
288,288,AB,Fort Macleod,"2010 8th Ave, Fort Macleod AB T0L 0Z0",T0L
289,289,AB,Fort Mckay,"Albian Sands - Wood Buffalo, Fort Mckay AB M5B 2K3",M5B
290,290,AB,Fort Mcmurray,"1001 Quarry Ridge Drive, Fort Mcmurray AB T9H 0K1",T9H
291,291,AB,Fort Mcmurray,"111 Thickwood Blvd, Fort Mcmurray AB T9H 5E5",T9H
292,292,AB,Fort Mcmurray,"21 Riedel St, Fort Mcmurray AB T9H 5N4",T9H
293,293,AB,Fort Mcmurray,"375 Loutit Rd Unit 101, Fort Mcmurray AB T9K 2W6",T9K
294,294,AB,Fort Mcmurray,"9701 Hardin St, Fort Mcmurray AB T9H 1L2",T9H
295,295,AB,Fort Mcmurray,"Airport Post-security, Fort Mcmurray AB T9H 0G3",T9H
296,296,AB,Fort Mcmurray,"BuildingÂ 41aÂ mildredÂ lake, FortÂ mcmurray AB T9H 3L1",T9H
297,297,AB,Fort Mcmurray,"Cnrl Horizon Mckay Camp, Fort Mcmurray AB T9H 5N4",T9H
298,298,AB,Fort Mcmurray,"Highway 63 Aurora Mine, Fort Mcmurray AB T9H 3L1",T9H
299,299,AB,Fort Mcmurray,"Highway 63 Mildred Lake Plant, A, FortÂ mcmurray AB T9H 3L1",T9H
300,300,AB,Fort Saskatchewan,"10080 88 Ave, Fort Saskatchewan AB T8L 0J4",T8L
301,301,AB,Fort Saskatchewan,"113-120 Southridge Blvd, Fort Saskatchewan AB T8L 0P6",T8L
